1:  25¡Â33x4/57=
149:  85/16+(43x62)=
150:  59/12x(73+79)=
151:  28¡Â(15x64)=
152:  16¡Â65¡Â93=
153:  (90x60)+100=
154:  72¡Â(36x71)=
155:  58-20¡Â50/76=
156:  (58+14)-70=
157:  40/87+100+9=
158:  43x(86¡Â89)=
159:  (25x51)x85=
160:  30¡Â(23x22)/37=
161:  36/56+(64¡Â4)=
162:  (76+16)x3=
163:  57+9+83=
164:  17+55¡Â27=
165:  89+(24x25)/13=
166:  10/26+90¡Â79=
167:  (95-60)x18=
168:  54¡Â62¡Â3=
169:  72+(90+68)=
170:  88¡Â85+30=
171:  22-43/48¡Â87=
172:  (86¡Â62)/74x45=
173:  36¡Â4¡Â76=
174:  53/85¡Â(72/97+21)=
175:  (76¡Â9)x94=
176:  36-81¡Â6=
177:  (88x62)+59=
178:  (57x19)-23=
179:  84/6x9+81=
180:  7x40¡Â81=
181:  40-1+22=
182:  28-(41/37+12)=
183:  94/8+73x55/73=
184:  77x(25-14)=
185:  78¡Â(22+69)=
186:  5/71¡Â2x57=
187:  59-44+98=
188:  79x(4/95+52)=
189:  67-27¡Â52=
190:  73x39¡Â58=
191:  81/37x(6x95)=
192:  96¡Â58x56=
193:  6x63x82=
194:  (59+94)x74=
195:  11x(65¡Â50)/2=
196:  (43+3)+16=
197:  64¡Â11/80¡Â30/72=
198:  (70¡Â79)¡Â12=
199:  (17/35¡Â59)+70=
200:  39/1+69x85=
201:  (69-5)/16+93=
202:  (51¡Â57)x34/79=
203:  (11+86)¡Â96=
204:  (93-92)/8+89=
205:  (98-76)¡Â9=
206:  100x27+30/51=
207:  (14/98x75)x1=
208:  41x(60+28)=
209:  (9x74)x32=
210:  2¡Â87+40/48=
211:  5¡Â41/61¡Â98=
212:  26-(65/3-6)=
213:  61+13-26=
214:  78¡Â84¡Â83=
215:  34+(86-47)=
216:  98x33+57=
217:  94/76x(44+72)=
218:  65/34+76x79=
219:  (39¡Â89)/21+68=
220:  (93¡Â39)x65=
221:  100/17-(6/96x91)/79=
222:  55¡Â(98x75)=
223:  19-(26+44)/74=
224:  2/47¡Â67x62=
225:  (52+14)-22=
226:  32/51+(77x35)=
227:  (13¡Â71)¡Â96=
228:  (59x60)¡Â36=
229:  44+42-17=
230:  46-(20/82¡Â35)=
231:  71x(20/77x42)=
232:  38x(52¡Â70)=
233:  21x(11¡Â97)/17=
234:  65¡Â(14x62)/85=
235:  (85+91)¡Â36=
236:  1/58x28+18=
237:  10¡Â(49+62)=
238:  29x95/76-22=
239:  (55¡Â24)+22/53=
240:  (57x55)¡Â92=
241:  14/99¡Â(38¡Â29)=
242:  50¡Â(24+39)=
243:  64+50-76=
244:  48/19¡Â77/43x9=
245:  13¡Â50+38=
246:  70¡Â(80+52)=
247:  (84¡Â5)x86=
248:  (86/51+61)-6=
249:  46x59x22/13=
250:  (44+49)/10+91=
251:  84-(67-34)=
252:  (31x53)/12¡Â58=
253:  36/93x72/96¡Â79/93=
254:  (40¡Â53)x32=
255:  (73x91)x53=
256:  2¡Â28¡Â24=
257:  26x(64-63)=
258:  (90x26)¡Â34/14=
259:  73¡Â71/11+25=
260:  81+(82¡Â22)=
261:  89+(27/7+99)/48=
262:  45-3-67/7=
263:  71+(89+7)=
264:  43¡Â100x45/15=
265:  44x14¡Â65=
266:  45x(62/57+5)/90=
267:  78+62x6=
268:  32¡Â35+29=
269:  49+(94x40)/23=
270:  55+93/25¡Â83/36=
271:  (57/23x82)¡Â36=
272:  (75+60)¡Â16=
273:  73¡Â42+24/89=
274:  44x98x21=
275:  (63-50)x44=
276:  23+67x1=
277:  23/45¡Â(54x48)=
278:  (64-31)/83x81=
279:  34x86/6-72=
280:  1x15/83+96/34=
281:  58+(54¡Â77)/71=
282:  96x31-29=
283:  (94/39¡Â72)/18¡Â96/33=
284:  (14¡Â49)/29x91=
285:  22-67/61¡Â37/24=
286:  61+(57¡Â19)=
287:  50+(45x71)/66=
288:  (2x64)/24x75=
289:  (57¡Â74)/98¡Â42=
290:  (37+51)+7=
291:  58x63-68=
292:  15¡Â83x87=
293:  (79x96)-3=
294:  65¡Â(28¡Â88)/72=
295:  (47x3)¡Â19=
296:  (74+76)x39=
297:  (5+60)x53=
298:  78/9+(58¡Â84)=
299:  34+41+47=
300:  (62+59)¡Â76=
301:  55x(99¡Â67)/64=
302:  92¡Â(17x96)=
303:  75¡Â(68+84)=
304:  63-(75-56)=
305:  (16+100)x14=
306:  78x(86/77x10)=
307:  99¡Â90¡Â44/8=
308:  (21/39¡Â76)+83=
309:  69+(11/43¡Â39)=
310:  (73/49x47)x97=
311:  64+(20x56)=
312:  59¡Â(81/58¡Â75)=
313:  100¡Â14¡Â2=
314:  70+57¡Â37=
315:  (100+93)¡Â44=
316:  36-84/31¡Â84/63=
317:  73x(49x18)=
318:  82+(72-27)=
319:  (49x7)¡Â28=
320:  91+11x67=
321:  (51/80+83)/79¡Â52=
322:  (42-13)¡Â18=
323:  2+93¡Â51/53=
324:  3+(98+61)=
325:  16+15/15+8=
326:  11¡Â(92/25¡Â83)=
327:  81/36-10/76+74/92=
328:  13+(38+29)=
329:  (85+88)/23-66/37=
330:  16¡Â13x89/62=
331:  39/22¡Â(24/95¡Â66)/16=
332:  42+59-31/55=
333:  22+69+45=
334:  31/12x(43¡Â58)=
335:  87¡Â22¡Â85=
336:  95+83x29=
337:  97x(6¡Â28)/25=
338:  (72+67)-44/62=
339:  58/91¡Â37+56=
340:  87¡Â32¡Â32/40=
341:  83-79+20/65=
342:  (42¡Â14)x40/63=
343:  81x(56¡Â44)=
344:  25¡Â(14¡Â62)=
345:  10+(66+91)/13=
346:  78-(72¡Â91)=
347:  91+36¡Â25=
348:  57/91+41+87=
349:  (15/56x22)x59=
350:  88/28¡Â(54x32)=
351:  78x34¡Â22=
352:  100+100¡Â96/96=
353:  28x99¡Â20=
354:  50x19/59-88/58=
355:  (86+55)-88=
356:  (45¡Â52)¡Â48/28=
357:  90-(86¡Â28)=
358:  (27/42¡Â53)¡Â66=
359:  49x50-73=
360:  61-(3/53+16)=
361:  (6¡Â60)x63=
362:  (36x2)+93/35=
363:  24x7/86¡Â100=
364:  (47¡Â72)x23=
365:  36/32+71/12¡Â62=
366:  (73+1)+32=
367:  (55/47x84)¡Â46=
368:  (73¡Â9)/30¡Â88=
369:  (35¡Â96)+70=
370:  (98+25)x55=
371:  5-(68¡Â15)=
372:  56/36x(94-67)=
373:  42x(50x99)=
374:  43-91/71+52=
375:  44+79x82=
376:  (24/100x20)¡Â73/31=
377:  68¡Â(60¡Â31)=
378:  26/83+100/82x14=
379:  45+5¡Â23=
380:  35+39/75+96=
381:  53/26x40+27=
382:  84/28x23-59=
383:  12/30+(1+94)=
384:  (45/80¡Â40)+5=
385:  54¡Â12-69/97=
386:  (1¡Â71)+15=
387:  (47¡Â91)x90=
388:  41¡Â61¡Â56=
389:  64+25/98-34=
390:  77/3-37¡Â89=
391:  25+(81-32)=
392:  73¡Â5+73/73=
393:  62+(27-24)/59=
394:  (48+94)/39x1=
395:  95-(1x88)=
396:  84x26-20=
397:  17+75¡Â44/71=
398:  (63+71)+40=
399:  50¡Â(88x82)=
400:  85-74/100-71=
401:  83/67x(93-45)=
402:  64¡Â53x27=
403:  65+(47x30)=
404:  (31+71)+12=
405:  22/91x(98-48)=
406:  65-(38/35¡Â97)/74=
407:  (22¡Â19)¡Â28=
408:  (88+84)x80=
409:  91/41+(43¡Â78)=
410:  13/69¡Â72/83¡Â10=
411:  (84x92)+50=
412:  33x(39¡Â20)=
413:  (34/79+55)x85=
414:  (17/67¡Â9)¡Â64=
415:  (98x94)-48/92=
416:  89x86-78/8=
417:  6-60/37+91=
418:  (45¡Â76)+51=
419:  (23x30)x20/88=
420:  85+84-57=
421:  83/67-(77/76¡Â45)/42=
422:  (84¡Â34)+63=
423:  55¡Â79x81=
424:  56+83/67+56=
425:  40x87x37=
426:  15¡Â(54¡Â69)=
427:  49¡Â(99¡Â2)=
428:  (35/3¡Â98)x38=
429:  (90¡Â76)+6=
430:  6-4/58¡Â96=
431:  34-6/23-16/4=
432:  48-63/38-40=
433:  (30+5)-32=
434:  65¡Â18¡Â37/14=
435:  40/40¡Â(75+76)/96=
436:  (30+4)x12/43=
437:  98+(77-69)=
438:  83x72/16¡Â44=
439:  28-(42+96)/62=
440:  (26+79)/33x34=
441:  46+32+9/43=
442:  26¡Â(78-12)/14=
443:  24¡Â(85+56)=
444:  86¡Â(17+88)=
445:  81-38+13/95=
446:  (62¡Â21)+92=
447:  (34-21)/21x77=
448:  42¡Â(6¡Â1)=
449:  (21¡Â83)¡Â100=
450:  (23+46)-16=
451:  83/64x74x66=
452:  28/12¡Â33+9=
453:  58-16+11/54=
454:  85+28-53=
455:  92¡Â(93-86)=
456:  61x74x63=
457:  (69¡Â43)¡Â15/54=
458:  39+(84¡Â57)/42=
459:  (27+16)x21/14=
460:  (63+20)-59=
461:  68x(6/5+86)=
462:  (92-9)+1=
463:  22+83+96=
464:  (46/75¡Â62)¡Â66=
465:  (17/93¡Â58)¡Â96=
466:  (30¡Â45)¡Â40=
467:  47/9+(19/12+86)=
468:  (12¡Â61)x82/51=
469:  (95x56)/86x8=
470:  96x(22¡Â54)/62=
471:  (3+68)+45=
472:  99+56+3=
473:  (33/35¡Â76)x35=
474:  89+(78+83)=
475:  81¡Â23¡Â90=
476:  (55¡Â60)/74x30=
477:  (54x88)x52/14=
478:  13¡Â(88-74)=
479:  88+38¡Â50=
480:  27-6¡Â14=
481:  1/54+20+70/47=
482:  16x27-32=
483:  70x88-79=
484:  (72-55)x76=
485:  6x96x17=
486:  59/43x77/1-100=
487:  (33+29)-83/55=
488:  7¡Â(80x30)=
489:  49+90-95=
490:  12/18x21x92=
491:  20+(32x20)=
492:  9x(78¡Â38)=
493:  18+(53¡Â64)=
494:  (7x93)x18/65=
495:  37-82/5¡Â64/100=
496:  (43¡Â57)x49/82=
497:  (52x22)x93=
498:  (78-40)/98+87=
499:  66/48+78¡Â25=
500:  2/16+23x3/100=
501:  34/32¡Â67¡Â38=
502:  51/75+44+13=
503:  (65¡Â12)x91/63=
504:  (9/29¡Â90)x48=
505:  65-82/43+32=
506:  83¡Â(61-20)/38=
507:  50-(48¡Â95)=
508:  58x(87x48)=
509:  55/34+9x90=
510:  (15+84)x45/30=
511:  30/45x(49x7)=
512:  15x53¡Â85=
513:  39/33¡Â(59¡Â33)=
514:  80+54¡Â70=
515:  1x11/40x55=
516:  57/45+40x84=
517:  89+92-5=
518:  (71x100)x38=
519:  94/8¡Â52+11=
520:  10+72/72x19=
521:  (34x61)+3/80=
522:  (40x56)+80=
523:  84¡Â20/29x9=
524:  94+58/32+28=
525:  17¡Â65/17¡Â68/89=
526:  50+62-90=
527:  87¡Â(79+88)=
528:  59x(35+27)=
529:  9/29x15x82=
530:  52+36+9=
531:  100/21+38x34/5=
532:  4+(82x66)=
533:  16-(100/21¡Â80)/8=
534:  42¡Â62x54=
535:  37x(63¡Â4)=
536:  41/22x(59x97)=
537:  64¡Â(9x86)=
538:  34x(66+24)=
539:  (95+75)+45=
540:  16x(45x87)=
541:  (97x60)+5=
542:  (42/93¡Â8)¡Â17=
543:  (54/35+68)+37/82=
544:  23-72¡Â77=
545:  93x95¡Â78=
546:  31¡Â(95+37)=
547:  18x78¡Â40=
548:  89¡Â(100/11x81)=
549:  94x100+48=
550:  66+61¡Â79=
551:  (81x88)¡Â66=
552:  38+(27+60)=
553:  (77/59x25)+40/84=
554:  70+16x65=
555:  83x50¡Â28=
556:  17x(64/30x57)=
557:  21+51+65/97=
558:  83-(81¡Â7)/62=
559:  43-(22¡Â82)=
560:  25¡Â(73-63)/7=
561:  (85¡Â33)+49=
562:  25x42+79=
563:  66+(25/7x87)=
564:  87¡Â(63¡Â18)/23=
565:  2¡Â87+9/89=
566:  19x34+64=
567:  39+(41+97)=
568:  27x35+87=
569:  (33x50)/34x64=
570:  (96x8)¡Â7=
571:  37+(72¡Â100)=
572:  78+(82x23)=
573:  47¡Â99¡Â10=
574:  71-53/32-67=
575:  48+38-60/36=
576:  (60¡Â41)+77=
577:  23/20x69-64=
578:  (22¡Â73)¡Â90=
579:  77-(82-25)=
580:  99+(79-34)=
581:  50x85+70=
582:  13+(21+82)/42=
583:  (28-22)/23¡Â42=
584:  41/69+63+41=
585:  (50x37)+71=
586:  69¡Â(12¡Â70)=
587:  87x16+12=
588:  81+96-3/26=
589:  85¡Â8x64=
590:  3-(62+40)/80=
591:  (32x32)+56=
592:  63x35x61/11=
593:  75-7/37-61/12=
594:  (64-32)/35+80/82=
595:  (4+31)/6¡Â96=
596:  91+(81¡Â14)=
597:  (98x60)-34=
598:  61-(35+3)=
599:  (92x85)+80=
600:  (92+12)¡Â84=
601:  100-12+46=
602:  43+(77x28)=
603:  32¡Â(51/12+20)=
604:  91/66+(82¡Â89)=
605:  (80-77)¡Â28=
606:  62+98-82=
607:  (64x56)/72x91=
608:  6x15¡Â89/34=
609:  83¡Â68+55/77=
610:  22/4-(89¡Â91)=
611:  (95x28)+35=
612:  3+65-38=
613:  50/95¡Â(97¡Â73)=
614:  24-45/63¡Â46=
615:  10x(43¡Â42)/44=
616:  (45/6+69)/60¡Â91=
617:  95¡Â68x74=
618:  (28-8)x16=
619:  (45+99)x11=
620:  88x72x22=
621:  46x(30¡Â39)=
622:  10/82+43¡Â73/23=
623:  (68¡Â21)-42/59=
624:  56x(99-57)=
625:  43¡Â93/14¡Â51/13=
626:  100x(5/63¡Â61)=
627:  33+37x24=
628:  94-(11+2)=
629:  44x(3¡Â64)=
630:  (55¡Â95)x50=
631:  6x41-92/80=
632:  70¡Â(26¡Â15)=
633:  36/29+(61+66)=
634:  76¡Â(50¡Â44)/67=
635:  50/77+97/95+98=
636:  3x33x56=
637:  22+(94x78)=
638:  3x34/37x47=
639:  (26+1)+33=
640:  92x36/37¡Â57=
641:  (95¡Â37)+74=
642:  21¡Â21x46=
643:  71/85¡Â(36/33¡Â71)=
644:  85-(20¡Â70)=
645:  44¡Â(59/56x57)=
646:  58/82¡Â92+47=
647:  5/30+9+75=
648:  7x(64-60)=
649:  (53+21)x99/55=
650:  (5+64)/59x1=
651:  31¡Â(96¡Â81)=
652:  64x17+26/65=
653:  62/17+71+17=
654:  (39¡Â100)¡Â41=
655:  (34/32x44)+41=
656:  100-(37¡Â75)=
657:  93/13x62+41=
658:  49x(22x63)=
659:  (81+98)x35=
660:  41/89¡Â(5/90+100)=
661:  21+(96x56)=
662:  20x(15¡Â93)=
663:  49¡Â47¡Â38=
664:  96-59+83=
665:  (27+61)+33/67=
666:  (6/38+43)x55=
667:  (75/63¡Â100)x60=
668:  39x62+88=
669:  34-(55¡Â76)/73=
670:  (100/74¡Â47)+70=
671:  89+(89-32)=
672:  74-32¡Â17=
673:  (98x76)¡Â98=
674:  (36¡Â83)x97=
675:  49¡Â15+23=
676:  47x(94-62)/45=
677:  95¡Â22x87=
678:  13¡Â26x93=
679:  (37x71)+97=
680:  (66¡Â33)+37=
681:  (90¡Â25)¡Â73=
682:  80/80+72x73=
683:  76x58x34=
684:  (15+57)¡Â61=
685:  (99+59)+73=
686:  66/8¡Â(35¡Â92)=
687:  (31/52+57)¡Â29=
688:  (69+28)+55=
689:  (62¡Â97)/89x75=
690:  (39x60)-84=
691:  (83¡Â83)/26+33=
692:  12+37¡Â57=
693:  60+6¡Â9=
694:  (64+16)x3=
695:  (44+69)+59=
696:  (72+14)¡Â63=
697:  75/86x(86x33)=
698:  (84-34)x6=
699:  98x90-63/93=
700:  61¡Â(12+2)=
701:  (94¡Â9)¡Â96=
702:  (23-6)¡Â19=
703:  68¡Â(84+55)=
704:  59+10/92-36=
705:  3+(54x46)/6=
706:  72x(66¡Â8)=
707:  (69x86)¡Â92=
708:  (90-84)+44=
709:  73+(94/35x55)/38=
710:  (52¡Â13)x34=
711:  (42+40)¡Â94=
712:  85/98x78¡Â72=
713:  45¡Â6¡Â94=
714:  52¡Â(77¡Â87)=
715:  56¡Â3+62=
716:  82¡Â(12+27)=
717:  (28/7¡Â65)¡Â76=
718:  60+(53¡Â15)/81=
719:  35+75+64/74=
720:  41+64/25x88/7=
721:  (16¡Â21)¡Â57/38=
722:  (49+30)x16=
723:  44x(97+74)=
724:  6-(63-62)=
725:  61+48/75+77=
726:  11+(11+19)=
727:  94-29¡Â16=
728:  16-(41¡Â21)=
729:  100x74¡Â8=
730:  19/93x1x86/80=
731:  56x(26¡Â96)=
732:  (77+74)x18/79=
733:  99+(48¡Â62)/31=
734:  24x62¡Â71=
735:  60-(58/96+12)=
736:  93¡Â(40+64)/10=
737:  62+42¡Â19=
738:  51x9x30/18=
739:  85¡Â20¡Â25/37=
740:  (36¡Â56)x27=
741:  2/45+73x72/77=
742:  (68x31)¡Â53=
743:  2¡Â(19+70)/39=
744:  (9¡Â16)/31¡Â52=
745:  42x(26¡Â36)=
746:  61-(96+24)/34=
747:  45/43¡Â72x41=
748:  66¡Â(87x35)=
749:  29x(13¡Â57)=
750:  (21¡Â59)/87+54=
751:  (93/85¡Â2)+20=
752:  (23¡Â26)+87=
753:  86¡Â36/75x18/70=
754:  (11x79)-63=
755:  96+33+8/35=
756:  (15+17)¡Â20/82=
757:  (69/89x12)+43/37=
758:  1+(22+96)=
759:  62/24+(97-46)=
760:  (38/64¡Â85)+82=
761:  (38-31)x92=
762:  (59+99)/91x58=
763:  13x(17¡Â74)/99=
764:  (97+88)-6=
765:  (48x78)+99=
766:  60¡Â31x53=
767:  (24¡Â56)/76¡Â41=
768:  72x(46+43)=
769:  41/27+76+7=
770:  99+96¡Â76=
771:  70/16-77/22¡Â88=
772:  78¡Â74-63/72=
773:  52¡Â1¡Â42/94=
774:  82-11+41=
775:  90x(98¡Â98)=
776:  99x74x84=
777:  39¡Â(76¡Â74)=
778:  29/19+1/14x100=
779:  (80+98)/51¡Â2=
780:  65-10x11/52=
781:  7-(99-11)/55=
782:  15x(35¡Â3)=
783:  (69+88)x59=
784:  (73¡Â67)¡Â40=
785:  92-42+12=
786:  (42x21)/2-31=
787:  53¡Â(43¡Â89)=
788:  100¡Â41-49/71=
789:  94-35x74/84=
790:  (3+56)x78/42=
791:  64/37x90x13=
792:  (53-36)¡Â15=
793:  93+77/36¡Â99/78=
794:  91-26-26=
795:  (89/41x7)¡Â54=
796:  28/5x46x77=
797:  (29+32)x8=
798:  80+(5+95)=
799:  (71¡Â93)x68=
800:  (92/92x68)x34=
801:  (74+4)¡Â23=
802:  66-26+50=
803:  56-(20-13)=
804:  (2x59)¡Â38/82=
805:  (53¡Â5)¡Â10=
806:  (40x25)+45/25=
807:  (64+87)/34x61/83=
808:  94/12x10-13=
809:  34+14/12-76/4=
810:  87x(88-11)=
811:  21/49x85/97+52/9=
812:  15-(3¡Â6)/70=
813:  86/71+(72-31)/64=
814:  43¡Â(91-49)=
815:  (20¡Â17)¡Â90=
816:  3+(60+53)=
817:  85x(38/94+34)=
818:  7-81/36¡Â50/18=
819:  94+(13x13)/49=
820:  96x75x52=
821:  38+(31+91)/55=
822:  58-(64-63)=
823:  (60x11)x44=
824:  15x(46x53)=
825:  79¡Â(72+84)=
826:  (95+88)¡Â44=
827:  90-52-9=
828:  (86x74)-37/87=
829:  72x(81/19¡Â19)=
830:  66x(1/40+61)=
831:  (3/96+36)¡Â3=
832:  11/93+(69+48)=
833:  73+(56-6)=
834:  48¡Â71x3=
835:  28+73/83¡Â58=
836:  8+15+96=
837:  14+6/99¡Â75=
838:  50x(80¡Â5)=
839:  40/11x82x21=
840:  59+(52x82)=
841:  75-(46¡Â30)=
842:  67x50¡Â7/63=
843:  43+(64¡Â29)=
844:  48/74+(80/97+34)=
845:  (44+15)¡Â99=
846:  18-(11¡Â94)=
847:  93+61¡Â47=
848:  (55-42)+1/32=
849:  (70¡Â72)/76¡Â92=
850:  (91/60¡Â12)+26=
851:  30/11+(32+16)/88=
852:  31+61-9=
853:  70+63x41=
854:  58¡Â7+33=
855:  21+(75+87)=
856:  64+(70+24)=
857:  39x33x49=
858:  59¡Â(44+83)/11=
859:  (60¡Â33)+30=
860:  (2+97)/52+74=
861:  71-15/75-19=
862:  32¡Â(8x20)=
863:  63¡Â73x94=
864:  53+5+15=
865:  (91-17)x66/1=
866:  (47x1)+82=
867:  49¡Â(74/31+90)=
868:  (45¡Â100)x79=
869:  1x(90x91)=
870:  71¡Â43¡Â34=
871:  (93/42¡Â10)+53/40=
872:  87+25/82-78=
873:  53¡Â4+85=
874:  51/76¡Â10/60x34/36=
875:  90/22¡Â(61/21+39)=
876:  66¡Â(40+4)=
877:  46+91/48¡Â31=
878:  18+83x55=
879:  (93¡Â9)¡Â23/30=
880:  (55x10)-81=
881:  (54/32+25)x81/17=
882:  93x28-31=
883:  (41-2)x84=
884:  22x(90/24x28)=
885:  26x97+61=
886:  (92-72)x95=
887:  99/82x20+60=
888:  20x(74x66)=
889:  52x(44/4+19)=
890:  46x57+20=
891:  71x57x46/11=
892:  99x(64+84)=
893:  66¡Â(80¡Â98)=
894:  (15¡Â96)x18=
895:  73-72¡Â78=
896:  (62+62)+44=
897:  78/49x75/56¡Â99=
898:  34/40¡Â(74x4)/65=
899:  (28x25)x71=
900:  71+64/34x85=
901:  58-74/45+3=
902:  86+(45¡Â72)=
903:  75x20-21=
904:  81/91x(96+40)=
905:  57x93¡Â73=
906:  (11+63)-62=
907:  35-31-75/90=
908:  66x(83+8)=
909:  (23/28x66)+75=
910:  36/88+23¡Â95=
911:  91/76+(84/37¡Â59)=
912:  34/37¡Â25+15=
913:  75+96x39=
914:  38/47+(83x78)=
915:  (18x92)/43x86=
916:  88/23+24/65+88/7=
917:  (57-18)+64=
918:  50-(81-58)=
919:  79¡Â56+93=
920:  48¡Â3/33-30=
921:  (51/43x78)¡Â96/78=
922:  45¡Â(55/73x79)=
923:  72¡Â(13x91)/78=
924:  79¡Â15x70=
925:  (24¡Â81)x97/21=
926:  87-16+39=
927:  12¡Â(7+46)=
928:  90x92-49/98=
929:  (4+84)x15=
930:  43¡Â(16¡Â30)=
931:  83x(81x78)=
932:  (93/87¡Â24)x80/30=
933:  40¡Â86+68/98=
934:  43+17x57=
935:  (50x26)¡Â81=
936:  58+(6¡Â29)=
937:  (32/82x95)x12=
938:  (50x36)+96/85=
939:  57x5/90¡Â92=
940:  (15/58x48)¡Â95=
941:  63x(71¡Â39)=
942:  69/2¡Â85x12=
943:  9x(47¡Â33)=
944:  78/5+(34¡Â67)=
945:  (21x83)+80=
946:  8¡Â(16+7)/5=
947:  14/35x(67¡Â59)=
948:  (60/95x35)¡Â41=
949:  (76+76)¡Â22=
950:  23-11+39=
951:  76-(70-59)=
952:  28x(12+11)=
953:  (69+96)x68/10=
954:  (75-57)¡Â100=
955:  7x(75+1)=
956:  (83/87+56)¡Â90=
957:  (7+84)/97+23=
958:  (95+89)+29=
959:  (13x47)¡Â47=
960:  81+(14+89)=
961:  40x97x64=
962:  86+47x91=
963:  88/80¡Â92+93=
964:  (17x97)-77=
965:  (10x5)-39=
966:  2/5+49x96=
967:  (91¡Â42)+81=
968:  42¡Â48/18x70=
969:  37¡Â(71+82)=
970:  7¡Â(54x11)=
971:  (3/89¡Â29)¡Â22=
972:  81+40x17=
973:  16x(29x54)=
974:  (73+86)¡Â70=
975:  (60¡Â11)x50=
976:  (36/23+22)-3=
977:  29x42/11x10=
978:  (93x47)/6x93=
979:  (1x65)/14x22=
980:  9x97¡Â9=
981:  57-13+22=
982:  (38¡Â83)x88=
983:  (54x7)-79=
