1:  25¡Â33x4/57=100/1881
110:  53x26-31=1347
111:  97+17-48=66
112:  90-(34/81+15)=74¡¯47/81
113:  13x(24¡Â36)/29=26/87
114:  97-21-3=73
115:  (18/10x77)+29=167¡¯3/5
116:  (60/61¡Â22)¡Â99/20=200/22143
117:  75-(65x16)/54=55¡¯20/27
118:  (95/57x81)¡Â22=6¡¯3/22
119:  99x(77¡Â45)=169¡¯2/5
120:  46¡Â44x88=92
121:  (74+58)¡Â10=13¡¯1/5
122:  62+14+13=89
123:  (36x38)+49=1417
124:  11+99¡Â92=12¡¯7/92
125:  68+68-45/67=135¡¯22/67
126:  58-(70¡Â84)=57¡¯1/6
127:  (65-60)¡Â94=5/94
128:  24+88-54=58
129:  74¡Â7+35=45¡¯4/7
130:  19x90+59/48=1711¡¯11/48
131:  7¡Â61¡Â19=7/1159
132:  39x65¡Â72=35¡¯5/24
133:  50¡Â(47-5)=1¡¯4/21
134:  98/47¡Â66/87¡Â3=1421/1551
135:  18x(95+45)/24=105
136:  (64/23+13)+46=61¡¯18/23
137:  89x(6/93¡Â33)/36=89/18414
138:  (16/26¡Â84)+46=46¡¯2/273
139:  9+(100+8)=117
140:  11/26¡Â(93+93)=11/4836
141:  (51-32)x17=323
142:  87/91x(21¡Â72)=29/104
143:  36+73x52=3832
144:  56/50x10¡Â67=56/335
145:  95/80+(16¡Â62)=1¡¯221/496
146:  100x(47x11)=51700
147:  16-16/66x3=15¡¯3/11
148:  (71+91)x77=12474
149:  85/16+(43x62)=2671¡¯5/16
150:  59/12x(73+79)=747¡¯1/3
151:  28¡Â(15x64)=7/240
152:  16¡Â65¡Â93=16/6045
153:  (90x60)+100=5500
154:  72¡Â(36x71)=2/71
155:  58-20¡Â50/76=27¡¯3/5
156:  (58+14)-70=2
157:  40/87+100+9=109¡¯40/87
158:  43x(86¡Â89)=41¡¯49/89
159:  (25x51)x85=108375
160:  30¡Â(23x22)/37=2¡¯49/253
161:  36/56+(64¡Â4)=16¡¯9/14
162:  (76+16)x3=276
163:  57+9+83=149
164:  17+55¡Â27=19¡¯1/27
165:  89+(24x25)/13=135¡¯2/13
166:  10/26+90¡Â79=1¡¯538/1027
167:  (95-60)x18=630
168:  54¡Â62¡Â3=9/31
169:  72+(90+68)=230
170:  88¡Â85+30=31¡¯3/85
171:  22-43/48¡Â87=21¡¯4133/4176
172:  (86¡Â62)/74x45=1935/2294
173:  36¡Â4¡Â76=9/76
174:  53/85¡Â(72/97+21)=5141/179265
175:  (76¡Â9)x94=793¡¯7/9
176:  36-81¡Â6=22¡¯1/2
177:  (88x62)+59=5515
178:  (57x19)-23=1060
179:  84/6x9+81=207
180:  7x40¡Â81=3¡¯37/81
181:  40-1+22=61
182:  28-(41/37+12)=14¡¯33/37
183:  94/8+73x55/73=66¡¯3/4
184:  77x(25-14)=847
185:  78¡Â(22+69)=6/7
186:  5/71¡Â2x57=2¡¯1/142
187:  59-44+98=113
188:  79x(4/95+52)=4111¡¯31/95
189:  67-27¡Â52=66¡¯25/52
190:  73x39¡Â58=49¡¯5/58
191:  81/37x(6x95)=1247¡¯31/37
192:  96¡Â58x56=92¡¯20/29
193:  6x63x82=30996
194:  (59+94)x74=11322
195:  11x(65¡Â50)/2=7¡¯3/20
196:  (43+3)+16=62
197:  64¡Â11/80¡Â30/72=1117¡¯1/11
198:  (70¡Â79)¡Â12=35/474
199:  (17/35¡Â59)+70=70¡¯17/2065
200:  39/1+69x85=5904
201:  (69-5)/16+93=97
202:  (51¡Â57)x34/79=578/1501
203:  (11+86)¡Â96=1¡¯1/96
204:  (93-92)/8+89=89¡¯1/8
205:  (98-76)¡Â9=2¡¯4/9
206:  100x27+30/51=2700¡¯10/17
207:  (14/98x75)x1=10¡¯5/7
208:  41x(60+28)=3608
209:  (9x74)x32=21312
210:  2¡Â87+40/48=149/174
211:  5¡Â41/61¡Â98=305/4018
212:  26-(65/3-6)=10¡¯1/3
213:  61+13-26=48
214:  78¡Â84¡Â83=13/1162
215:  34+(86-47)=73
216:  98x33+57=3291
217:  94/76x(44+72)=143¡¯9/19
218:  65/34+76x79=6005¡¯31/34
219:  (39¡Â89)/21+68=68¡¯13/623
220:  (93¡Â39)x65=155
221:  100/17-(6/96x91)/79=5¡¯17413/21488
222:  55¡Â(98x75)=11/1470
223:  19-(26+44)/74=18¡¯2/37
224:  2/47¡Â67x62=124/3149
225:  (52+14)-22=44
226:  32/51+(77x35)=2695¡¯32/51
227:  (13¡Â71)¡Â96=13/6816
228:  (59x60)¡Â36=98¡¯1/3
229:  44+42-17=69
230:  46-(20/82¡Â35)=45¡¯285/287
231:  71x(20/77x42)=774¡¯6/11
232:  38x(52¡Â70)=28¡¯8/35
233:  21x(11¡Â97)/17=231/1649
234:  65¡Â(14x62)/85=6¡¯317/868
235:  (85+91)¡Â36=4¡¯8/9
236:  1/58x28+18=18¡¯14/29
237:  10¡Â(49+62)=10/111
238:  29x95/76-22=14¡¯1/4
239:  (55¡Â24)+22/53=2¡¯899/1272
240:  (57x55)¡Â92=34¡¯7/92
241:  14/99¡Â(38¡Â29)=203/1881
242:  50¡Â(24+39)=50/63
243:  64+50-76=38
244:  48/19¡Â77/43x9=12¡¯1020/1463
245:  13¡Â50+38=38¡¯13/50
246:  70¡Â(80+52)=35/66
247:  (84¡Â5)x86=1444¡¯4/5
248:  (86/51+61)-6=56¡¯35/51
249:  46x59x22/13=4592¡¯12/13
250:  (44+49)/10+91=100¡¯3/10
251:  84-(67-34)=51
252:  (31x53)/12¡Â58=2¡¯251/696
253:  36/93x72/96¡Â79/93=27/79
254:  (40¡Â53)x32=24¡¯8/53
255:  (73x91)x53=352079
256:  2¡Â28¡Â24=1/336
257:  26x(64-63)=26
258:  (90x26)¡Â34/14=963¡¯9/17
259:  73¡Â71/11+25=36¡¯22/71
260:  81+(82¡Â22)=84¡¯8/11
261:  89+(27/7+99)/48=91¡¯1/7
262:  45-3-67/7=32¡¯3/7
263:  71+(89+7)=167
264:  43¡Â100x45/15=1¡¯29/100
265:  44x14¡Â65=9¡¯31/65
266:  45x(62/57+5)/90=3¡¯5/114
267:  78+62x6=450
268:  32¡Â35+29=29¡¯32/35
269:  49+(94x40)/23=212¡¯11/23
270:  55+93/25¡Â83/36=56¡¯1273/2075
271:  (57/23x82)¡Â36=5¡¯89/138
272:  (75+60)¡Â16=8¡¯7/16
273:  73¡Â42+24/89=2¡¯29/3738
274:  44x98x21=90552
275:  (63-50)x44=572
276:  23+67x1=90
277:  23/45¡Â(54x48)=23/116640
278:  (64-31)/83x81=32¡¯17/83
279:  34x86/6-72=415¡¯1/3
280:  1x15/83+96/34=3¡¯6/1411
281:  58+(54¡Â77)/71=58¡¯54/5467
282:  96x31-29=2947
283:  (94/39¡Â72)/18¡Â96/33=517/808704
284:  (14¡Â49)/29x91=26/29
285:  22-67/61¡Â37/24=21¡¯649/2257
286:  61+(57¡Â19)=64
287:  50+(45x71)/66=98¡¯9/22
288:  (2x64)/24x75=400
289:  (57¡Â74)/98¡Â42=19/101528
290:  (37+51)+7=95
291:  58x63-68=3586
292:  15¡Â83x87=15¡¯60/83
293:  (79x96)-3=7581
294:  65¡Â(28¡Â88)/72=14708¡¯4/7
295:  (47x3)¡Â19=7¡¯8/19
296:  (74+76)x39=5850
297:  (5+60)x53=3445
298:  78/9+(58¡Â84)=9¡¯5/14
299:  34+41+47=122
300:  (62+59)¡Â76=1¡¯45/76
301:  55x(99¡Â67)/64=1¡¯1157/4288
302:  92¡Â(17x96)=23/408
303:  75¡Â(68+84)=75/152
304:  63-(75-56)=44
305:  (16+100)x14=1624
306:  78x(86/77x10)=871¡¯13/77
307:  99¡Â90¡Â44/8=1/5
308:  (21/39¡Â76)+83=83¡¯7/988
309:  69+(11/43¡Â39)=69¡¯11/1677
310:  (73/49x47)x97=6791¡¯48/49
311:  64+(20x56)=1184
312:  59¡Â(81/58¡Â75)=3168¡¯14/27
313:  100¡Â14¡Â2=3¡¯4/7
314:  70+57¡Â37=71¡¯20/37
315:  (100+93)¡Â44=4¡¯17/44
316:  36-84/31¡Â84/63=33¡¯30/31
317:  73x(49x18)=64386
318:  82+(72-27)=127
319:  (49x7)¡Â28=12¡¯1/4
320:  91+11x67=828
321:  (51/80+83)/79¡Â52=6691/328640
322:  (42-13)¡Â18=1¡¯11/18
323:  2+93¡Â51/53=98¡¯11/17
324:  3+(98+61)=162
325:  16+15/15+8=25
326:  11¡Â(92/25¡Â83)=248¡¯9/92
327:  81/36-10/76+74/92=2¡¯1613/1748
328:  13+(38+29)=80
329:  (85+88)/23-66/37=5¡¯628/851
330:  16¡Â13x89/62=1¡¯309/403
331:  39/22¡Â(24/95¡Â66)/16=7410
332:  42+59-31/55=100¡¯24/55
333:  22+69+45=136
334:  31/12x(43¡Â58)=1¡¯637/696
335:  87¡Â22¡Â85=87/1870
336:  95+83x29=2502
337:  97x(6¡Â28)/25=291/350
338:  (72+67)-44/62=138¡¯9/31
339:  58/91¡Â37+56=56¡¯58/3367
340:  87¡Â32¡Â32/40=3¡¯51/128
341:  83-79+20/65=4¡¯4/13
342:  (42¡Â14)x40/63=1¡¯19/21
343:  81x(56¡Â44)=103¡¯1/11
344:  25¡Â(14¡Â62)=110¡¯5/7
345:  10+(66+91)/13=22¡¯1/13
346:  78-(72¡Â91)=77¡¯19/91
347:  91+36¡Â25=92¡¯11/25
348:  57/91+41+87=128¡¯57/91
349:  (15/56x22)x59=347¡¯19/28
350:  88/28¡Â(54x32)=11/6048
351:  78x34¡Â22=120¡¯6/11
352:  100+100¡Â96/96=200
353:  28x99¡Â20=138¡¯3/5
354:  50x19/59-88/58=14¡¯1000/1711
355:  (86+55)-88=53
356:  (45¡Â52)¡Â48/28=105/208
357:  90-(86¡Â28)=86¡¯13/14
358:  (27/42¡Â53)¡Â66=3/16324
359:  49x50-73=2377
360:  61-(3/53+16)=44¡¯50/53
361:  (6¡Â60)x63=6¡¯3/10
362:  (36x2)+93/35=74¡¯23/35
363:  24x7/86¡Â100=21/1075
364:  (47¡Â72)x23=15¡¯1/72
365:  36/32+71/12¡Â62=1¡¯41/186
366:  (73+1)+32=106
367:  (55/47x84)¡Â46=2¡¯148/1081
368:  (73¡Â9)/30¡Â88=73/23760
369:  (35¡Â96)+70=70¡¯35/96
370:  (98+25)x55=6765
371:  5-(68¡Â15)=7/15
372:  56/36x(94-67)=42
373:  42x(50x99)=207900
374:  43-91/71+52=93¡¯51/71
375:  44+79x82=6522
376:  (24/100x20)¡Â73/31=2¡¯14/365
377:  68¡Â(60¡Â31)=35¡¯2/15
378:  26/83+100/82x14=17¡¯1315/3403
379:  45+5¡Â23=45¡¯5/23
380:  35+39/75+96=131¡¯13/25
381:  53/26x40+27=108¡¯7/13
382:  84/28x23-59=10
383:  12/30+(1+94)=95¡¯2/5
384:  (45/80¡Â40)+5=5¡¯9/640
385:  54¡Â12-69/97=3¡¯153/194
386:  (1¡Â71)+15=15¡¯1/71
387:  (47¡Â91)x90=46¡¯44/91
388:  41¡Â61¡Â56=41/3416
389:  64+25/98-34=30¡¯25/98
390:  77/3-37¡Â89=25¡¯67/267
391:  25+(81-32)=74
392:  73¡Â5+73/73=15¡¯3/5
393:  62+(27-24)/59=62¡¯3/59
394:  (48+94)/39x1=3¡¯25/39
395:  95-(1x88)=7
396:  84x26-20=2164
397:  17+75¡Â44/71=138¡¯1/44
398:  (63+71)+40=174
399:  50¡Â(88x82)=25/3608
400:  85-74/100-71=13¡¯13/50
401:  83/67x(93-45)=59¡¯31/67
402:  64¡Â53x27=32¡¯32/53
403:  65+(47x30)=1475
404:  (31+71)+12=114
405:  22/91x(98-48)=12¡¯8/91
406:  65-(38/35¡Â97)/74=64¡¯125596/125615
407:  (22¡Â19)¡Â28=11/266
408:  (88+84)x80=13760
409:  91/41+(43¡Â78)=2¡¯2465/3198
410:  13/69¡Â72/83¡Â10=1079/49680
411:  (84x92)+50=7778
412:  33x(39¡Â20)=64¡¯7/20
413:  (34/79+55)x85=4711¡¯46/79
414:  (17/67¡Â9)¡Â64=17/38592
415:  (98x94)-48/92=9211¡¯11/23
416:  89x86-78/8=7644¡¯1/4
417:  6-60/37+91=95¡¯14/37
418:  (45¡Â76)+51=51¡¯45/76
419:  (23x30)x20/88=156¡¯9/11
420:  85+84-57=112
421:  83/67-(77/76¡Â45)/42=1¡¯327583/1374840
422:  (84¡Â34)+63=65¡¯8/17
423:  55¡Â79x81=56¡¯31/79
424:  56+83/67+56=113¡¯16/67
425:  40x87x37=128760
426:  15¡Â(54¡Â69)=19¡¯1/6
427:  49¡Â(99¡Â2)=98/99
428:  (35/3¡Â98)x38=4¡¯11/21
429:  (90¡Â76)+6=7¡¯7/38
430:  6-4/58¡Â96=5¡¯1391/1392
431:  34-6/23-16/4=29¡¯17/23
432:  48-63/38-40=6¡¯13/38
433:  (30+5)-32=3
434:  65¡Â18¡Â37/14=1¡¯122/333
435:  40/40¡Â(75+76)/96=96/151
436:  (30+4)x12/43=9¡¯21/43
437:  98+(77-69)=106
438:  83x72/16¡Â44=8¡¯43/88
439:  28-(42+96)/62=25¡¯24/31
440:  (26+79)/33x34=108¡¯2/11
441:  46+32+9/43=78¡¯9/43
442:  26¡Â(78-12)/14=5¡¯17/33
443:  24¡Â(85+56)=8/47
444:  86¡Â(17+88)=86/105
445:  81-38+13/95=43¡¯13/95
446:  (62¡Â21)+92=94¡¯20/21
447:  (34-21)/21x77=47¡¯2/3
448:  42¡Â(6¡Â1)=7
449:  (21¡Â83)¡Â100=21/8300
450:  (23+46)-16=53
451:  83/64x74x66=6333¡¯15/16
452:  28/12¡Â33+9=9¡¯7/99
453:  58-16+11/54=42¡¯11/54
454:  85+28-53=60
455:  92¡Â(93-86)=13¡¯1/7
456:  61x74x63=284382
457:  (69¡Â43)¡Â15/54=5¡¯167/215
458:  39+(84¡Â57)/42=39¡¯2/57
459:  (27+16)x21/14=64¡¯1/2
460:  (63+20)-59=24
461:  68x(6/5+86)=5929¡¯3/5
462:  (92-9)+1=84
463:  22+83+96=201
464:  (46/75¡Â62)¡Â66=23/153450
465:  (17/93¡Â58)¡Â96=17/517824
466:  (30¡Â45)¡Â40=1/60
467:  47/9+(19/12+86)=92¡¯29/36
468:  (12¡Â61)x82/51=328/1037
469:  (95x56)/86x8=494¡¯38/43
470:  96x(22¡Â54)/62=176/279
471:  (3+68)+45=116
472:  99+56+3=158
473:  (33/35¡Â76)x35=33/76
474:  89+(78+83)=250
475:  81¡Â23¡Â90=9/230
476:  (55¡Â60)/74x30=55/148
477:  (54x88)x52/14=17650¡¯2/7
478:  13¡Â(88-74)=13/14
479:  88+38¡Â50=88¡¯19/25
480:  27-6¡Â14=26¡¯4/7
481:  1/54+20+70/47=21¡¯1289/2538
482:  16x27-32=400
483:  70x88-79=6081
484:  (72-55)x76=1292
485:  6x96x17=9792
486:  59/43x77/1-100=5¡¯28/43
487:  (33+29)-83/55=60¡¯27/55
488:  7¡Â(80x30)=7/2400
489:  49+90-95=44
490:  12/18x21x92=1288
491:  20+(32x20)=660
492:  9x(78¡Â38)=18¡¯9/19
493:  18+(53¡Â64)=18¡¯53/64
494:  (7x93)x18/65=180¡¯18/65
495:  37-82/5¡Â64/100=11¡¯3/8
496:  (43¡Â57)x49/82=2107/4674
497:  (52x22)x93=106392
498:  (78-40)/98+87=87¡¯19/49
499:  66/48+78¡Â25=4¡¯99/200
500:  2/16+23x3/100=163/200
501:  34/32¡Â67¡Â38=17/40736
502:  51/75+44+13=57¡¯17/25
503:  (65¡Â12)x91/63=7¡¯89/108
504:  (9/29¡Â90)x48=24/145
505:  65-82/43+32=95¡¯4/43
506:  83¡Â(61-20)/38=76¡¯38/41
507:  50-(48¡Â95)=49¡¯47/95
508:  58x(87x48)=242208
509:  55/34+9x90=811¡¯21/34
510:  (15+84)x45/30=148¡¯1/2
511:  30/45x(49x7)=228¡¯2/3
512:  15x53¡Â85=9¡¯6/17
513:  39/33¡Â(59¡Â33)=39/59
514:  80+54¡Â70=80¡¯27/35
515:  1x11/40x55=15¡¯1/8
516:  57/45+40x84=3361¡¯4/15
517:  89+92-5=176
518:  (71x100)x38=269800
519:  94/8¡Â52+11=11¡¯47/208
520:  10+72/72x19=29
521:  (34x61)+3/80=2074¡¯3/80
522:  (40x56)+80=2320
523:  84¡Â20/29x9=1096¡¯1/5
524:  94+58/32+28=123¡¯13/16
525:  17¡Â65/17¡Â68/89=5¡¯213/260
526:  50+62-90=22
527:  87¡Â(79+88)=87/167
528:  59x(35+27)=3658
529:  9/29x15x82=381¡¯21/29
530:  52+36+9=97
531:  100/21+38x34/5=263¡¯17/105
532:  4+(82x66)=5416
533:  16-(100/21¡Â80)/8=15¡¯667/672
534:  42¡Â62x54=36¡¯18/31
535:  37x(63¡Â4)=582¡¯3/4
536:  41/22x(59x97)=10665¡¯13/22
537:  64¡Â(9x86)=32/387
538:  34x(66+24)=3060
539:  (95+75)+45=215
540:  16x(45x87)=62640
541:  (97x60)+5=5825
542:  (42/93¡Â8)¡Â17=7/2108
543:  (54/35+68)+37/82=69¡¯2853/2870
544:  23-72¡Â77=22¡¯5/77
545:  93x95¡Â78=113¡¯7/26
546:  31¡Â(95+37)=31/132
547:  18x78¡Â40=35¡¯1/10
548:  89¡Â(100/11x81)=979/8100
549:  94x100+48=9448
550:  66+61¡Â79=66¡¯61/79
551:  (81x88)¡Â66=108
552:  38+(27+60)=125
553:  (77/59x25)+40/84=33¡¯128/1239
554:  70+16x65=1110
555:  83x50¡Â28=148¡¯3/14
556:  17x(64/30x57)=2067¡¯1/5
557:  21+51+65/97=72¡¯65/97
558:  83-(81¡Â7)/62=82¡¯353/434
559:  43-(22¡Â82)=42¡¯30/41
560:  25¡Â(73-63)/7=17¡¯1/2
561:  (85¡Â33)+49=51¡¯19/33
562:  25x42+79=1129
563:  66+(25/7x87)=376¡¯5/7
564:  87¡Â(63¡Â18)/23=571¡¯5/7
565:  2¡Â87+9/89=961/7743
566:  19x34+64=710
567:  39+(41+97)=177
568:  27x35+87=1032
569:  (33x50)/34x64=3105¡¯15/17
570:  (96x8)¡Â7=109¡¯5/7
571:  37+(72¡Â100)=37¡¯18/25
572:  78+(82x23)=1964
573:  47¡Â99¡Â10=47/990
574:  71-53/32-67=2¡¯11/32
575:  48+38-60/36=84¡¯1/3
576:  (60¡Â41)+77=78¡¯19/41
577:  23/20x69-64=15¡¯7/20
578:  (22¡Â73)¡Â90=11/3285
579:  77-(82-25)=20
580:  99+(79-34)=144
581:  50x85+70=4320
582:  13+(21+82)/42=15¡¯19/42
583:  (28-22)/23¡Â42=1/161
584:  41/69+63+41=104¡¯41/69
585:  (50x37)+71=1921
586:  69¡Â(12¡Â70)=402¡¯1/2
587:  87x16+12=1404
588:  81+96-3/26=176¡¯23/26
589:  85¡Â8x64=680
590:  3-(62+40)/80=1¡¯29/40
591:  (32x32)+56=1080
592:  63x35x61/11=12227¡¯8/11
593:  75-7/37-61/12=69¡¯323/444
594:  (64-32)/35+80/82=1¡¯1277/1435
595:  (4+31)/6¡Â96=35/576
596:  91+(81¡Â14)=96¡¯11/14
597:  (98x60)-34=5846
598:  61-(35+3)=23
599:  (92x85)+80=7900
600:  (92+12)¡Â84=1¡¯5/21
601:  100-12+46=134
602:  43+(77x28)=2199
603:  32¡Â(51/12+20)=1¡¯31/97
604:  91/66+(82¡Â89)=2¡¯1763/5874
605:  (80-77)¡Â28=3/28
606:  62+98-82=78
607:  (64x56)/72x91=4529¡¯7/9
608:  6x15¡Â89/34=34¡¯34/89
609:  83¡Â68+55/77=1¡¯445/476
610:  22/4-(89¡Â91)=4¡¯95/182
611:  (95x28)+35=2695
612:  3+65-38=30
613:  50/95¡Â(97¡Â73)=730/1843
614:  24-45/63¡Â46=23¡¯317/322
615:  10x(43¡Â42)/44=215/924
616:  (45/6+69)/60¡Â91=51/3640
617:  95¡Â68x74=103¡¯13/34
618:  (28-8)x16=320
619:  (45+99)x11=1584
620:  88x72x22=139392
621:  46x(30¡Â39)=35¡¯5/13
622:  10/82+43¡Â73/23=13¡¯2005/2993
623:  (68¡Â21)-42/59=2¡¯652/1239
624:  56x(99-57)=2352
625:  43¡Â93/14¡Â51/13=1¡¯3083/4743
626:  100x(5/63¡Â61)=500/3843
627:  33+37x24=921
628:  94-(11+2)=81
629:  44x(3¡Â64)=2¡¯1/16
630:  (55¡Â95)x50=28¡¯18/19
631:  6x41-92/80=244¡¯17/20
632:  70¡Â(26¡Â15)=40¡¯5/13
633:  36/29+(61+66)=128¡¯7/29
634:  76¡Â(50¡Â44)/67=4480¡¯24/25
635:  50/77+97/95+98=99¡¯4904/7315
636:  3x33x56=5544
637:  22+(94x78)=7354
638:  3x34/37x47=129¡¯21/37
639:  (26+1)+33=60
640:  92x36/37¡Â57=1¡¯401/703
641:  (95¡Â37)+74=76¡¯21/37
642:  21¡Â21x46=46
643:  71/85¡Â(36/33¡Â71)=54¡¯371/1020
644:  85-(20¡Â70)=84¡¯5/7
645:  44¡Â(59/56x57)=2464/3363
646:  58/82¡Â92+47=47¡¯29/3772
647:  5/30+9+75=84¡¯1/6
648:  7x(64-60)=28
649:  (53+21)x99/55=133¡¯1/5
650:  (5+64)/59x1=1¡¯10/59
651:  31¡Â(96¡Â81)=26¡¯5/32
652:  64x17+26/65=1088¡¯2/5
653:  62/17+71+17=91¡¯11/17
654:  (39¡Â100)¡Â41=39/4100
655:  (34/32x44)+41=87¡¯3/4
656:  100-(37¡Â75)=99¡¯38/75
657:  93/13x62+41=484¡¯7/13
658:  49x(22x63)=67914
659:  (81+98)x35=6265
660:  41/89¡Â(5/90+100)=738/160289
661:  21+(96x56)=5397
662:  20x(15¡Â93)=3¡¯7/31
663:  49¡Â47¡Â38=49/1786
664:  96-59+83=120
665:  (27+61)+33/67=88¡¯33/67
666:  (6/38+43)x55=2373¡¯13/19
667:  (75/63¡Â100)x60=5/7
668:  39x62+88=2506
669:  34-(55¡Â76)/73=33¡¯5493/5548
670:  (100/74¡Â47)+70=70¡¯50/1739
671:  89+(89-32)=146
672:  74-32¡Â17=72¡¯2/17
673:  (98x76)¡Â98=76
674:  (36¡Â83)x97=42¡¯6/83
675:  49¡Â15+23=26¡¯4/15
676:  47x(94-62)/45=33¡¯19/45
677:  95¡Â22x87=375¡¯15/22
678:  13¡Â26x93=46¡¯1/2
679:  (37x71)+97=2724
680:  (66¡Â33)+37=39
681:  (90¡Â25)¡Â73=18/365
682:  80/80+72x73=5257
683:  76x58x34=149872
684:  (15+57)¡Â61=1¡¯11/61
685:  (99+59)+73=231
686:  66/8¡Â(35¡Â92)=21¡¯24/35
687:  (31/52+57)¡Â29=1¡¯1487/1508
688:  (69+28)+55=152
689:  (62¡Â97)/89x75=4650/8633
690:  (39x60)-84=2256
691:  (83¡Â83)/26+33=33¡¯1/26
692:  12+37¡Â57=12¡¯37/57
693:  60+6¡Â9=60¡¯2/3
694:  (64+16)x3=240
695:  (44+69)+59=172
696:  (72+14)¡Â63=1¡¯23/63
697:  75/86x(86x33)=2475
698:  (84-34)x6=300
699:  98x90-63/93=8819¡¯10/31
700:  61¡Â(12+2)=4¡¯5/14
701:  (94¡Â9)¡Â96=47/432
702:  (23-6)¡Â19=17/19
703:  68¡Â(84+55)=68/139
704:  59+10/92-36=23¡¯5/46
705:  3+(54x46)/6=417
706:  72x(66¡Â8)=594
707:  (69x86)¡Â92=64¡¯1/2
